名称,所在地,種別,緯度,経度
練馬文化センター,練馬1-17-37,帰宅支援ステーション,35.73919744,139.6537568
光が丘区民ホール,光が丘2-9-6,帰宅支援ステーション,35.75940451,139.6297689
生涯学習センター分館,高野台2-25-1,帰宅支援ステーション,35.74803575,139.6213123
石神井公園区民交流センター,石神井町2-14-1,帰宅支援ステーション,35.7441359,139.6076709
関区民ホール,関町北1-7-2,帰宅支援ステーション,35.72466261,139.5776102
勤労福祉会館,東大泉5-40-36,帰宅支援ステーション,35.74821967,139.5873817
区民・産業プラザ,練馬1-17-1,帰宅支援ステーション,35.73809868,139.6536342
板橋地域センター,板橋区板橋3-14-15,帰宅困難者の一時滞在施設,35.75122449 ,139.7122383
仲宿地域センター,板橋区氷川町40-9,帰宅困難者の一時滞在施設,35.75395834 ,139.7071428
仲町地域センター,板橋区仲町20-5,帰宅困難者の一時滞在施設,35.75115197 ,139.6963361
熊野地域センター,板橋区熊野町40-9,帰宅困難者の一時滞在施設,35.74363733 ,139.7044268
桜川地域センター,板橋区東新町2-45-6,帰宅困難者の一時滞在施設,35.75238664 ,139.6817465
常盤台区民事務所,板橋区常盤台3-27-1,帰宅困難者の一時滞在施設,35.76123256 ,139.6824586
板橋西清掃事務所,板橋区徳丸1-16-1,帰宅困難者の一時滞在施設,35.76916154 ,139.666599
成増社会教育会館,板橋区成増1-12-4,帰宅困難者の一時滞在施設,35.77468991 ,139.6327152
高島平地域センター,板橋区高島平3-12-28,帰宅困難者の一時滞在施設,35.78704522 ,139.6589257
志村福祉事務所,板橋区蓮根2-28-1,帰宅困難者の一時滞在施設,35.78546584 ,139.675321
板橋東清掃事務所,板橋区東坂下2-20-9,帰宅困難者の一時滞在施設,35.78780524 ,139.6851954
大原社会教育会館,板橋区大原町5-18,帰宅困難者の一時滞在施設,35.76972978 ,139.7001073
